V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
7.5,7,0.7372562549162853,1.0370156194841746,0.5756726129690132,120.65236825781595,0.009749999999999998,0.009573910421594927,0.0947477513506622,0.13163979279353263,38.9152804614214,39,8,3,True
7.5,7,0.7658402694062398,0.9454918966019108,0.6486063083598985,114.25919839137148,0.009749999999999998,0.0094775306564562,0.1266983535810142,0.15907724995912448,34.142849970214364,39,5,4,True
7.5,7,0.7530255825714431,0.8606414093485244,0.5976019839948538,115.56208398503588,0.009749999999999998,0.009496901290976023,0.12441071794874656,0.14449733097413361,36.54752530415881,39,12,4,True
7.5,7,0.7325899905752354,0.965502595827046,0.7308543846144262,118.07320840866656,0.009749999999999998,0.009740009800485894,0.15324144416619073,0.17028681999894835,32.470639526034496,39,23,4,True
7.5,7,0.7818558544063497,0.8289707972410045,0.6952867526048583,110.65483164374716,0.009749999999999998,0.009408051844566546,0.16148699493831836,0.17488572282053114,31.768058775347544,39,23,5,True
7.5,7,0.7982732759144817,0.7219229257932673,0.6269180005463222,109.55281069304341,0.009749999999999998,0.00928082776606844,0.1575743019342405,0.1634198117290056,33.47027340634875,39,26,5,True
7.5,7,0.7929659061223034,0.9276814446803869,0.6627421634773454,110.92345001432251,0.009749999999999998,0.009339657321236861,0.13175422249095767,0.16902440283932954,32.64627882612325,39,1,6,True
7.5,7,0.7686029326855545,0.9248370201969264,0.5522481372655256,115.9629299944235,0.009749999999999998,0.009366566505503564,0.09965236993503304,0.134368640703277,38.37880185661727,39,1,6,True
7.5,7,0.764672537715988,0.920100632081656,0.5494499789279605,116.42508703767372,0.009749999999999998,0.009384812023267646,0.09969691441933827,0.13291367584000072,38.66250773947319,39,2,6,True
7.5,7,0.7603377429307294,0.7887703318824448,0.6157346177859198,113.84269366184847,0.009749999999999998,0.009471751694975016,0.1428802459930769,0.15184881197201178,35.33492531709691,39,7,6,True
7.5,7,0.7714785466469503,0.916760676176978,0.6237839482123783,113.61719508799636,0.009749999999999998,0.009421033775002917,0.12266733182331106,0.15455986805021327,34.875650819442995,39,12,7,True
7.5,7,0.7421601561529733,0.9644712746005466,0.7935073565636024,116.965323975184,0.009749999999999998,0.009715373759813514,0.17387690868192282,0.18493438729643114,30.303642858120597,39,21,7,True
