V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
7.0,2,0.7042130993341026,0.8915473761505353,0.8411314839672775,104.52950414667427,0.016,0.013167254424771782,0.17981679551061933,0.18652923367052734,30.121279592292368,39,1,0,True
7.0,2,0.7351576820711051,0.7701719089947641,1.035190428131862,130.59348547024257,0.016,0.012928953521484755,0.28060053740030033,0.22627446300317428,25.397894928094846,39,1,0,False
7.0,2,0.8,0.7566366633624746,1.0063859779545723,107.40456154051353,0.016,0.012371187645676934,0.2611859389749397,0.23742853391679428,24.220370938034378,39,1,0,False
7.0,2,0.6876113852930613,0.7782438684449017,0.9842602906786948,141.7695011249445,0.016,0.013391800976995067,0.26380480871974954,0.2050253352527182,27.767242840974145,39,1,0,False
7.0,2,0.8,0.9948252180434728,1.1434724523594941,93.27680010039252,0.016,0.012215786575316223,0.2642797980698627,0.2700396016522983,21.331682025966256,39,1,0,True
7.0,2,0.7012398249643537,0.6584880365928343,1.0503834407625139,171.07275902657827,0.016,0.013220685508552474,0.3292954086014458,0.214392324047077,26.701266342177398,39,1,0,False
7.0,2,0.724751433616615,0.45014623581042634,0.8456570565964061,171.85764908444656,0.016,0.012632249230390191,0.31956219635060723,0.1809440312494803,30.901849562439704,39,1,0,False
7.0,2,0.7854006605162912,0.919224377418142,0.8231773726120014,95.6016605298327,0.016,0.012437067796079119,0.15988927335364284,0.2029128924248648,28.01576981218983,39,1,0,True
7.0,2,0.7890988281503089,0.8836175632123879,0.9696634895750644,96.53014460839437,0.016,0.012459387061337293,0.21869407608404565,0.23246821570794043,24.730726590276635,39,1,0,True
7.0,2,0.6477362235252556,0.87315341992845,1.052489960593452,153.7033562136993,0.016,0.013802020782784044,0.27724332394101164,0.2078531168395007,27.439843902379184,39,1,0,False
7.0,2,0.8,0.9939755754522048,1.149445475918512,93.29496538003413,0.016,0.012209015850966239,0.2669082980302184,0.27108786840056653,21.251080143374832,39,2,0,True
7.0,2,0.8,0.9973631470159994,1.0744872577076106,93.26683170165437,0.016,0.012283640418710782,0.2361961909064621,0.25760320710275,22.347603670048557,39,2,0,True
7.0,2,0.8,0.9156016240572831,1.2329149794186345,109.38046997260427,0.016,0.012147055144707692,0.3199299248530325,0.2816783878599404,20.443947101736192,39,2,0,False
7.0,2,0.764887441353828,0.9379682946782226,1.0116826901664246,98.23402739252987,0.016,0.012640306434261592,0.22800123828695404,0.23559644697695384,24.408680211937945,39,2,0,True
7.0,2,0.8,1.05,1.4,102.52891612494757,0.016,0.011585326512585413,0.3709407963992648,0.315805585058748,18.096630583427277,39,2,0,False
7.0,2,0.8,1.05,1.1592223389360605,90.96319758465226,0.016,0.01214412658274739,0.26062862077345933,0.2751214947424496,20.943771057372455,39,2,0,True
7.0,2,0.8,0.9876065633330178,1.4,112.2495467639071,0.016,0.011669105189962921,0.3847392904665664,0.31186611272495474,18.331527626181852,39,2,0,False
7.0,2,0.8,0.982507633545093,1.1310223704924813,93.75479731721084,0.016,0.012240154653234449,0.26152579676634424,0.26730655679838455,21.546038212172718,39,2,0,True
7.0,2,0.8,1.0401731604881845,1.0045041522287903,92.07835012489083,0.016,0.012299355666437856,0.20279925944672927,0.24563535251956384,23.417744826735486,39,2,0,True
7.0,2,0.8,1.05,1.199725339465582,90.62283508452417,0.016,0.0120802749094008,0.27745735750487865,0.2822429438668235,20.39993282291714,39,2,0,True
7.0,2,0.8,1.05,1.3616484212350999,100.27701737800706,0.016,0.011705233839720617,0.35148658965246726,0.30914591916022505,18.498767500977085,39,3,0,False
7.0,2,0.8,1.05,1.247919509675221,92.60252189052095,0.016,0.011989476875191779,0.2982825453184548,0.2902341074395988,19.793147673431136,39,3,0,False
7.0,2,0.8,1.05,1.2054756798543085,90.5682068886945,0.016,0.01207030986867044,0.27989453714804036,0.28320740636278424,20.3253655390972,39,3,0,True
7.0,2,0.8,1.05,1.1043130389025881,91.31184967207464,0.016,0.012213350158381812,0.23872312622161923,0.26492051203266676,21.738340733491004,39,3,0,True
7.0,2,0.8,1.05,0.9877816590674879,91.87092498282588,0.016,0.012300539902423972,0.195299678438425,0.24265143985003546,23.70422286166023,39,3,0,True
7.0,2,0.8,1.05,1.2342461894545007,91.6144756402973,0.016,0.012016932989684653,0.29228050087105956,0.28797733844327117,19.961230303578095,39,3,0,False
7.0,2,0.8,1.05,1.4,102.52891612494757,0.016,0.011585326512585413,0.3709407963992648,0.315805585058748,18.096630583427277,39,3,0,False
7.0,2,0.8,1.05,1.30962348120639,96.94527982905215,0.016,0.011847955795353585,0.3263825721866456,0.300311431686652,19.069712459452003,39,3,0,False
7.0,2,0.8,1.05,1.2871882112406274,95.4075387402562,0.016,0.011902792959621844,0.31596760878727576,0.29661193292973137,19.326431328831003,39,3,0,False
7.0,2,0.8,1.05,1.2733430289016472,94.43412843403682,0.016,0.011934682144740293,0.3096557824693863,0.29434988933172407,19.488342104847593,39,3,0,False
7.0,2,0.8,1.05,1.1654417192255133,90.91649875648733,0.016,0.012135053640273698,0.263173796731751,0.27625956291366,20.858108764376823,39,4,0,True
7.0,2,0.8,1.05,1.3010150544092782,96.36294432797916,0.016,0.011869517470738085,0.32235401718660667,0.29888483700458746,19.167551044322927,39,4,0,False
7.0,2,0.8,1.05,1.1917560300721455,90.69589355610914,0.016,0.012093713093410095,0.2740996507982411,0.2809095355039581,20.504329365480633,39,4,0,True
7.0,2,0.8,1.05,1.3409013717049465,98.99827661081662,0.016,0.011764813024901134,0.34130868297858175,0.3055519855950936,18.72262753032931,39,4,0,False
7.0,2,0.8,1.05,1.1751412562206545,90.83774896537652,0.016,0.012120328781650485,0.267174272139014,0.2780415278816168,20.725980306197584,39,4,0,True
7.0,2,0.8,1.05,1.221958550254428,90.72137595710923,0.016,0.012040445622894686,0.28695136939308535,0.28593707633593113,20.114948508195045,39,4,0,False
7.0,2,0.8,1.05,1.4,102.52891612494757,0.016,0.011585326512585413,0.3709407963992648,0.315805585058748,18.096630583427277,39,4,0,False
7.0,2,0.8,1.05,1.2007237773424488,90.61294417002205,0.016,0.012078548201114207,0.2778805428281315,0.2824106962286082,20.38690670413551,39,4,0,True
7.0,2,0.8,1.05,1.2767165917275067,94.67372062499373,0.016,0.011927071826444287,0.3111838957937308,0.29489877673605935,19.44869868646955,39,4,0,False
