V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
8.5,2,0.7042130993341026,0.8915473761505353,0.8411314839672775,289.61727031701315,0.016,0.014941682163761131,0.18335296958456268,0.13556650594679356,38.09239774493797,39,1,0,False
8.5,2,0.7351576820711051,0.7701719089947641,1.035190428131862,359.4257560855039,0.016,0.014680221102512766,0.2859563895651855,0.17208381814274054,32.1358695514736,39,1,0,False
8.5,2,0.8,0.7566366633624746,1.0063859779545723,293.29157593100945,0.016,0.01402717091933418,0.2666689298823741,0.1821268175541021,30.619506436155934,39,1,0,False
8.5,2,0.6876113852930613,0.7782438684449017,0.9842602906786948,398.44524934112917,0.016,0.015217763072386759,0.26850393803216094,0.15255886894260606,35.15130393816602,39,1,0,False
8.5,2,0.8,0.9948252180434728,1.1434724523594941,244.90757881912745,0.016,0.013847933262250823,0.2703691392654838,0.2110145952228694,26.94663405247205,39,1,0,False
8.5,2,0.7012398249643537,0.6584880365928343,1.0503834407625139,477.3738907138166,0.016,0.015022273515178205,0.33485193125994794,0.16073048639557078,33.819669843441574,39,1,0,False
8.5,2,0.724751433616615,0.45014623581042634,0.8456570565964061,500.76592148224114,0.016,0.014322415986294912,0.3246391355576375,0.12998977693667407,39.152102011738364,39,1,0,False
8.5,2,0.7854006605162912,0.919224377418142,0.8231773726120014,211.29030290093374,0.016,0.014087086505180025,0.16350022656127333,0.1511908727314001,35.38174975294059,39,1,0,False
8.5,2,0.7890988281503089,0.8836175632123879,0.9696634895750644,248.55281628414963,0.016,0.014126380415174396,0.2235006956647377,0.17782452807817123,31.248117684749328,39,1,0,False
8.5,2,0.6477362235252556,0.87315341992845,1.052489960593452,431.0009283059291,0.016,0.015699419386174238,0.282033250597359,0.15497962290753273,34.746515904873604,39,1,0,False
8.5,2,0.8,0.9181744860529386,0.5369877078606167,271.55299245835533,0.016,0.013704293365719584,0.07523753422545763,0.08237652688042643,49.59692384270239,39,2,0,False
8.5,2,0.8,0.9332755510674218,0.6860377319527267,201.95079861913285,0.016,0.01381669627232695,0.11564715854682725,0.12334951001770429,40.329370696817655,39,2,0,False
8.5,2,0.8,0.8700030047532311,0.8100143077418267,211.155964584043,0.016,0.013932325387144635,0.16545676156658837,0.1509916467736264,35.41247353670679,39,2,0,False
8.5,2,0.7563041794362036,0.9909002509997171,0.7959377308733258,210.4218922116735,0.016,0.01434414176235968,0.14669131275163147,0.1398195731741588,37.30383558538198,39,2,0,False
